product_title,product_price,product_image,product_hyperlink
"$2.38
each
H-E-B Texas Toast Enriched White Sliced Bread, 24 oz",$2.38,https://images.heb.com/is/image/HEBGrocery/prd-small/000481418.jpg?v=1,https://www.heb.com/product-detail/h-e-b-texas-toast-enriched-white-sliced-nbsp-bread/481418
"$2.98
each
H-E-B Mild Cheddar Sliced Cheese, 10 ct",$2.98,https://images.heb.com/is/image/HEBGrocery/prd-small/000970984.jpg?v=1,https://www.heb.com/product-detail/h-e-b-mild-cheddar-sliced-cheese/970984
"$7.98
each
H-E-B Creamy Tomato Basil Soup, 31.4 oz",$7.98,https://images.heb.com/is/image/HEBGrocery/prd-small/005689054.jpg?v=1,https://www.heb.com/product-detail/h-e-b-creamy-tomato-basil-soup/5689054
"$7.99
each
H-E-B Fully Cooked Seasoned Chicken Breast Fajitas, 16 oz",$7.99,https://images.heb.com/is/image/HEBGrocery/prd-small/006178010.jpg?v=1,https://www.heb.com/product-detail/h-e-b-fully-cooked-seasoned-chicken-breast-fajitas/6178010
"Coupon
$7.88
each
Cookwell & Company Tortilla Soup, 32 oz",$7.88,https://images.heb.com/is/image/HEBGrocery/prd-small/001523175.jpg?v=1,https://www.heb.com/product-detail/cookwell-company-tortilla-soup/1523175
"$1.98
each
H-E-B Chicken Broth, 32 oz",$1.98,https://images.heb.com/is/image/HEBGrocery/prd-small/002229625.jpg?v=1,https://www.heb.com/product-detail/h-e-b-chicken-broth/2229625
"$1.98
each
H-E-B Restaurant Style Tortilla Strips Chips, 11 oz",$1.98,https://images.heb.com/is/image/HEBGrocery/prd-small/001627416.jpg?v=1,https://www.heb.com/product-detail/h-e-b-restaurant-style-tortilla-strips-chips/1627416
"$4.99
each
Meal Simple by H-E-B Chicken & Dumpling Soup, 16 oz",$4.99,https://images.heb.com/is/image/HEBGrocery/prd-small/005384017.jpg?v=1,https://www.heb.com/product-detail/meal-simple-by-h-e-b-chicken-dumpling-soup/5384017
"$4.88
each
($0.24 / ct)
H-E-B Bakery Flour Tortillas, 20 ct
Back Edge of Bakery",$4.88,https://images.heb.com/is/image/HEBGrocery/prd-small/000465325.jpg?v=1,https://www.heb.com/product-detail/h-e-b-bakery-flour-tortillas/465325
"$3.22
each
($0.27 / ct)
H-E-B Grade AA Cage Free Large Brown Eggs, 12 ct
In Dairy on the Back Wall",$3.22,https://images.heb.com/is/image/HEBGrocery/prd-small/001011641.jpg?v=1,https://www.heb.com/product-detail/h-e-b-grade-aa-cage-free-large-brown-eggs/1011641
